ticker,as_of,archetype,float_label,under20_label,conf_label,cik,float_det,os,os_src,g_exo,strat,det_conf,cls,relerr,os_relerr,gate_match,confident
STSS,2025-08-25,split/reverse,1.02,True,high,1737995,1.022,1.023,xbrl,0.002,0.0,1col-noderiv?,ok,0.0016,0.0016,True,True
YHC,2025-07-16,split/reverse,0.45,True,med,1843165,-0.505,1.067,xbrl,0.0,1.572,nogroup,ok,2.1222,0.8952,True,False
CVKD,2025-06-30,split/reverse,1.41,True,med,1937993,1.582,1.967,xbrl,0.384,0.0,1col-deriv+scaled,ok,0.1222,0.0876,True,False
WHLR,2025-06-20,split/reverse,0.02,True,med,1527541,3.071,3.071,xbrl,0.0,0.0,1col-deriv+scaled,ok,152.5507,0.9935,True,False
QBTS,2025-05-20,IPO/offering,282.8,False,high,1907982,280.089,288.674,xbrl,8.585,0.0,1col-noderiv?,ok,0.0096,0.0094,True,True
ADN,2025-08-15,IPO/offering,2.54,True,high,1744494,2.578,2.67,xbrl,0.092,0.0,1col-deriv,ok,0.0149,0.0142,True,True
SNES,2025-07-22,IPO/offering,3.51,True,high,1680378,1.751,1.776,xbrl,0.025,0.0,nogroup,ok,0.5011,0.9904,True,False
OPAD,2025-08-28,IPO/offering,14.44,True,med,1825024,19.34,30.584,xbrl,11.244,0.0,1col-noderiv?,ok,0.3393,0.1602,True,True
LTRN,2025-07-23,IPO/offering,10.74,True,med,1763950,10.743,10.785,xbrl,0.042,0.0,1col-deriv,ok,0.0003,0.0003,True,True
LINK,2025-06-20,IPO/offering,1.64,True,high,828146,1.637,9.864,xbrl,8.227,0.0,1col-noderiv?,ok,0.0018,0.0003,True,True
VVPR,2025-08-11,IPO/offering,18.93,True,low,1681348,3.262,4.44,xbrl,1.178,0.0,1col-noderiv?,ok,0.8277,3.5291,True,True
TZUP,2025-05-07,IPO/offering,4.62,True,med,1853825,5.343,9.504,xbrl,4.161,0.0,multiclass,ok,0.1565,0.0761,True,False
THAR,2025-08-21,IPO/offering,4.21,True,med,1861657,4.635,4.635,xbrl,0.0,0.0,1col-deriv,ok,0.101,0.0917,True,True
ATHR,2025-07-24,IPO/offering,2.07,True,high,2026353,,,,,,,no-proxy,,,,
SSII,2025-06-20,IPO/offering,46.57,False,med,1676163,54.386,193.604,xbrl,139.218,0.0,1col-deriv,ok,0.1678,0.0404,True,True
AAOI,2025-06-20,IPO/offering,53.64,False,high,1158114,53.046,55.544,xbrl,2.499,0.0,1col-noderiv?,ok,0.0111,0.0107,True,True
AMPG,2025-08-14,IPO/offering,17.57,True,med,1518461,17.46,20.574,xbrl,3.113,0.0,1col-deriv,ok,0.0062,0.0053,True,True
STSS,2025-08-28,IPO/offering,1.02,True,med,1737995,1.022,1.023,xbrl,0.002,0.0,1col-noderiv?,ok,0.0016,0.0016,True,True
AAOI,2025-06-18,IPO/offering,53.64,False,high,1158114,53.046,55.544,xbrl,2.499,0.0,1col-noderiv?,ok,0.0111,0.0107,True,True
