ticker,float_M,os_M
ARIS_delisted_1865187,,
ARKR,2.02,3.61
ARMP,11.63,36.71
ARQ,35.72,42.93
ARQQ,8.33,15.29
ARQT,113.32,125.08
ARTL,3.85,3.9
ARTV,46.29,50.76
ARTW,2.55,5.18
ARTX,,
ARVL,7,22.68
ASAP,13.13,13.55
ASBP,1.18667,1.21098
ASC,40.8,40.8
ASFI,,
ASLE,22.12,47.24
ASLN,3,3.2
ASM,165.34,168.57
ASMB,15.4036,20.7036
ASNS,26.71,26.73
ASPI,103.67,125.9
ASPN,69.47,82.88
ASPS,9.61,11.28
ASPU,19,25.31
ASRT,6.29,6.46
ASRV,15.42,16.96
ASST,78.78,78.87
ASTC,1.41,1.76
ASTI,9.46,9.46
ASTR,15.17,22.89
ASTS,258.8,388.12
ASUR,27.05,28.68
ASXC,267.29,272.84
ASYS,14.43683,17.42683
ATAI,303.83,366.92
ATCH,133.51,150.34
ATCX,1.79,5
ATER,9.5,10.82
ATGL,9.31,16.46
ATHE,17.9,18.13
ATHR,4.1,12.14
ATHX,61,61.56
ATIP,1.5,4.41
ATLN,36.8,79.36
ATLX,23.23,29.49
ATNM,31.19,31.37
ATNX,8.27,8.66
ATOM,37.39,38.72
ATOS,8.61,8.61
ATPC,0.97,1
ATRA,6.07,9.01
ATRO,27.77,35.84
ATTO,65.09,75.41
ATV,,
ATXG,0.98,1
ATXI,3.01,3.29
ATXS,56.82,57.08
ATYR,96.67,98.05
AUC,9.69,10.01
AUD,125.1,150.35
AUDC,23.52,27.72
AUGX,26.32,49.24
AUID,15.86,16.13
AUMN,15.15,18.89
AUPH,109.97,128.6
AURA,107.68,109.03
AURE,32.23,36.8
AUST,7.14,13.69
AUTL,184.89,266.16
AUTO,9.54,14.05
AUUD,5.58,5.59
AUVI,4.75,4.8
AVAH,76.78,217.76
AVCT,29.54,32.47
AVD,26.26,28.61
AVDL,97.38,98.15
AVEO,34.68,34.76
AVGR,3.13,3.31
AVIR,72.57,80.03
AVNW,12.35,12.94
AVR,77.53,97.34
AVTX,52.56,52.57
AVX,65.45,89.62
AVXL,91.37,92.67
AWH,42.69,43.5
AWIN,0.92,0.92
AWRE,12.84,21.63
AWX,2.02,3.9
AXAS,6.5,8.42
AXDX,15.32,25.21
AXG,64.49,190.45
AXGN,50.37,53.18
AXIL,3.05,6.8
AXLA,2.41,2.95
AXR,2.22,5.31
AXTI,62.35,65.42
AXU,156.56,162.72
AYLA,8.34,14.82
AYTU,9.92,10.73
AZ,40.68,44.55
AZI,3.44,4.49
AZTR,11.5,16.19
AZUL,222.35,443.88
BABY,4.09,5.47
BACK,3.68,3.78
BAER,27.76,57.64
BAND,28.76,32.02
BANL,6.25,27.5
BAOS,0.9,1.53
BARK,4.921,8.6415
BATL,8.48,22.79
BBAI,474.78,478.95
BBBY,73.39,73.94
BBCP,27.66,50.56
BBGI,0.67,1.81
BBIG,12.45,12.45
BBLG,1.79,1.8
BBLN,22.41,25.61
BBOT,47.62,80.11
BBQ,6.93,10.76
BBW,11.61,12.58
BCAB,1.61,1.66
BCAX,57.68,65.7
BCDA,10.59,11.37
BCEL,38.71,39.62
BCG,3.64,16.81
BCLI,10.81,11.45105
BCML,10.2,10.91
BCOV,41.66,45.14
BCOW,4.86,5.96
BCTX,8.6793,8.6993
BDL,0.81,1.86
BDMD,9.79,42.21
BDR,8.29,
BDRX,0.75,0.75
BDSX,5.93,10.11
BDTX,43.08,57.3
BEAT,45.46,55.51
BEDU,6.41,29.67
BEEM,21.84,22.2
BEEP,8.6,41.2
BENF,1.67,14.43
BESS,4.42,7.1
BEST,4.04,20.1
BETR,7.36,18.87
BETS,4.29,4.29
BFI,20,27.4
BFLY,166.6,261.27
BFRA,28.36,
BFRG,16.1,18.54
BFRI,12.39,12.8
BFX,35.35,36.41
BGDE,5.34,5.52
BGFV,21.44,22.92
BGI,3.23,19.59
BGIN,43.53,113.14
BGL,11.17,40.84
BGLC,1.89,2.42
BGM,5.26,383.96
BGMS,4.41,5.52
BGRY,161.99,242.42
BGSF,10.34,11.24
BGXX,92.9,191.17
BH,0.69,2.29
BHAT,2.5036,3.1
BHIL,3.66,6.11
BHR,46.28,68.68
BHST,17.91,22.67
BIAF,4.46,4.53
BIG,28.43,29.69
BIMI,3.35,15.52
BINI,12.48,12.48
BIOA,40.2,44.45
BIOC,2.62,2.63
BIOL,36.6,36.6
BIOR,2.96,4.52
BIRD,6.18,8.81
BIVI,7.53,7.54
BIYA,1.27,15.11
BJDX,1.03,4.68592
BKEP,34.57,41.9
BKKT,35.99,47.87
BKSC,4.94,5.55
BKSY,28.79,37.11
BKTI,3.12,3.74
BKYI,1.081,1.084
BLCM,9.72,9.72
BLCT,18.76,37.47
BLIN,9.73,12.6
BLIV,5.1,10.86
BLMZ,3.33,54.57
BLNE,26.05,31.18
BLNK,137.9,143.68
BLPH,9.85,12.23
BLRX,4.18,4.35
BLTE,20.63,40.09
BLUE,9.71,9.79
BLZE,42.99,60.1
BMEA,63.02,72.3
BMGL,8.58,18.79
BMHL,3.37,24.64
BMNR,565.12,568.08
BMR,11.76,15.53
BMRA,2.86,3.09
BMTX,8.67,12.1
BNAI,3.83,6.75331
BNBX,9.73,9.74
BNC,35.1,42.9
BNED,14.49,34.3
BNFT,23.4,34.42
BNGO,11.47,11.48
BNKK,7.6,8
BNR,7.59,10.52
BNRG,1.89,1.9
BNSO,1.46,4.86
BNTC,25.82,34.35
BNZI,1.38,1.46
BODI,3.22,7.24
BOF,12.59,15.32
BOLD,17.61,22.46
BOLT,1.54,1.92
BON,6.09,8.13
BOOM,19.76,20.47
BORR,290.55,308
BOSC,6.73,7.05
BOT,9.61017,20.27417
BOTJ,3.85,4.54
BOXD,65.62,72.66
BOXL,3.37,4
BPTH,50.3,50.3
BPTS,33.84,33.84
BQ,2.79,14.87
BRAG,19.12,26.35145
BRAI,1.71,215.73643
BRBS,68.91,91.34
BRCC,88.4,249.5
BRCN,81.74,108.73
BRDS,10.481,12.87
BRFH,10.93,16.14
BRIA,2.5,30.63
BRID,1.86,9.08
BRLS,8.84,21.46
BRLT,15.52,101.2
BRN,7.53,14.4
BRNS,30.61,40.85
BROG,17.25,109.59
BRQS,24.86,45.47
BRR,71.12,90.57
BRSH,100.96,100.97
BRT,10.54,18.82
BRTX,25.14,25.48
BRUN,61.43,61.43
BRY,76.32,77.61
BSET,7.28,8.65
BSFC,7.89,41.8
