ticker,float_M,os_M
FENC,33.42,34.74
FENG,4.78,12.01
FET,10.68,11.3
FF,25.78,43.86
FFAI,292.16,303.9
FFBW,5.32,5.55
FGH,12.73,19.71
FGI,0.54,1.93
FGL,0.92,1.05
FGNX,6.07,6.26
FHTX,40.87,64
FIEE,3.01,8.53
FIP,97.03,118.16
FJET,29.47,49.39388
FKWL,8.44,11.78
FLD,6.12,50.78
FLL,33.44,36.27
FLNA,44.93,48.31
FLNC,74.87,141.53
FLNT,12.42,29.82
FLUX,17.03,21.36
FLX,35.98,73.13
FLXS,4.93,5.35
FLYE,1.55539,1.63
FLYX,12.15,96.03
FLYY,27.66,28.32
FMFC,8.74,18.3
FMST,12.6,16.38759
FMTO,0.86,0.86
FMTX,47.12,47.85
FNCH,0.91,1.61
FNGR,49.76,61.28
FNHC,16.26,17.52
FNJN,,
FNUC,18.03,18.03
FOA,6.2,8.89
FOCL,37.16,37.48
FOFO,3.57,7.57
FONR,6.01,6.56
FORA,23.24,31.24
FORK,,
FOSL,54.63,59.1
FOXO,4261.59,4261.66
FOXX,1.38,7.04
FPAY,20.27,28.48
FPH,58.83,148.5
FPRX,,
FRD,6.78,7.11
FREE,43.44,43.44
FRES,3.48,3.86
FRGE,9.59,13.76
FRGI,25.16,26.19
FRGT,0.572,0.572
FRLN,1.916,4.34
FRMM,14.47,14.54
FRSX,1.52,1.56
FRTX,4.18,5.97
FRZA,7.12,15.75
FSEA,4.39,4.69
FSFG,5.95,7.02
FSI,8.13,12.74
FSR,641.47,777.89
FSRD,22.31,75.9
FSTR,9.7,10.46
FSTX,19.55,21.98
FTCI,12.99,16.01
FTEK,28.41,31.17
FTEO,,
FTFT,3.51,5.87
FTHM,20.63,32.78
FTK,18.64,36.18
FTLF,6.71,9.39
FTRK,8.47,21.81
FTSI,9.62,14.06
FTW,27.48,27.72
FUBO,28.44,108.43
FUFU,20.12,166.62
FULC,65.77,66.63
FURY,165.96,190.12
FUSB,5.05,5.57
FUSE,14.1,28.94
FUSN,85.06,85.06
FUV,11.99,12.41
FWDI,74.49,74.68
FWP,2.27,7.25
FXLV,51.59,97.32
FXNC,7.41,9.04
GAIA,16.09,25.31
GALT,46.27,65.86
GAMB,14.52,35.25
GAME,83.81,93.7
GAN,43.78,46.46
GANX,41.03,42.65
GASS,26.97,37.19
GATO,34.61,69.38
GAU,164.06,260.28
GAUZ,18.27,18.74
GBIO,4.6,6.74
GBNH,23.63,45.6
GBR,4.73,7.13
GCDT,3.91,12.88
GCL,32.82,126.28
GCMG,58.09,60.38
GCO,9.91,10.86
GCT,24.17,36.79
GCTK,6.26,6.26
GCTS,71.2,83.08
GDC,20.45,60.76
GDEV,3.37,18.13
GDHG,44.56,47.06
GDP,7.34,14.39
GDTC,4.63,11.83
GECC,10.97,13.89
GEG,19.55,31.36
GELS,5.62,10.71
GENC,10.19,14.66
GENE,4.23,4.41
GENK,4.6,32.96
GEOS,11.87,12.89
GETR,69.71,97.2
GEVO,234.16,243.41
GFAI,22.48,24.35
GFED,3,4.38
GFR,65.92,125.43
GGE,128.09,143
GGR,7.18,15.89
GGRP,21.35,24.43
GHG,4.06,100.9
GHL,13.97,18.82
GHM,11.07,11.67
GHRS,47.6,68.61
GHSI,1.27,1.28
GIBO,2.53,65.12
GIFI,12.48,16
GIFT,23.38,34.11
GIGM,6.02,11.05
GILT,39.72,74.53
GIPR,29.835,30.385
GITS,3.33,3.67
GLBS,16.37,21.58
GLBZ,2.63,2.92
GLDG,205.73,207.12
GLE,8.3,18.78
GLMD,6.56,6.58
GLND,31.6,43.61
GLOP,51.14,51.14
GLS,54.36,73.34
GLSI,7.69,14.68
GLUE,80.87,84.48
GLXG,1.44,5.96
GMBL,1.15,1.15
GMDA,128.77,132.64
GME,410.72,448.69
GMEX,0.84143,0.85857
GMHS,8.54,57.32
GMM,54.08742,58.66742
GMVD,7.41,7.42
GNCA,48,58.73
GNE,18.71,26.4
GNFT,48.02,50
GNLN,3.75,3.75
GNLX,43.77,44.84
GNMX,,
GNPX,10.58,10.59
GNS,195.83,202.8
GNSS,44.09,45.54
GNTA,16.51,23.44
GOAI,12.72,36.54
GOCO,14.75,29.3
GOEV,14.24,14.49
GORO,160.25,161.88
GORV,0.9,3.74
GOSS,225.84,234.7
GOVX,5.5,5.5
GP,3.66,5.03
GPAK,19.38,25.58
GPGI,76.83,289.86
GPL,47.14,47.14
GPP,9.92,23.26
GPRO,143.95,174
GPUS,479.69,485
GRAL,32.61,42.92
GRAN,9.71,24.91
GRCE,9.68,15.47
GRCL,76.12,95.49
GRDI,22.38,71.88
GRDX,6.14,9.38
GREE,13.43,18.02222
GRFX,38.52,58.69
GRI,1.77,1.77
GRIN,3.48,16.21
GRML,78.17,121.24
GRND,49,185.15
GRNQ,5.45,18.05895
GRO,72.27,81.85
GROM,9.02,9.02
GROV,16.4,42.03
GROW,9.77,12.4
GROY,176.87,230.79
GRPN,20.53,37.98
GRRR,23.8,26.19
GRTS,113.9,118.11
GRTX,203.3,203.3
GRVY,2.83,6.95
GRWG,54.88,60.09
GSIT,30.81,36.19
GSIW,1.0334,1.33
GSM,88.67,188.29
GSUM,,
GSUN,8.01,8.73
GTBP,35.79,36.06
GTE,34.37,35.36
GTEC,19.28,25.69
GTH,14.14624,30.52
GTHX,43.15,52.76
GTI,3.82,3.85
GTIM,7.86,10.56
GTX,85.65,187.19
GTYH,42.86,59.41
GURE,1.36,1.654
GUTS,141.82,158.65
GV,3.58,5.61
GVH,2.36,2.42
GVP,3.12,3.47
GWAV,0.8,0.83
GWH,22.39,29.39
GWRS,14.5,28.76
GXAI,9.99,10.22
GYRE,17.52,97.03
GYRO,1.11,2.2
HALL,1.31,1.82
HAO,1.81738,2.22824
HARP,16.59,16.93
HAYN,12.56,12.79
HBB,6.14,13.55
HBIO,4.02,4.51
HBNB,15.13,234.15
HBP,25.03,27.33
HCAI,0.43,1.16
HCDI,2.21,2.33
HCHL,7.21,29.77
HCTI,2.03,2.03
HCWB,6.24,9.57698
HCWC,20.51,26.55
HDRN,3.16,71.498
HDSN,36.55,42.07
HELP,49.21,49.89
HEPA,11.62,29.12
HERE,20.56,54.36
HEXO,41.84,43.38
HFBL,2.65,3.05
HFFG,40.01,53.48
HGAS,7.48,7.48
HGBL,30.45,34.73
HGEN,104.86,119.08
HHRS,8.69,90.93
HHS,6.17,7.42
HIHO,3.22,4.6
HIL,42.8,57.09
HIND,5.98,7.02
HIPO,17.14,26.04
HIT,28.83,65.53
HITI,87.65,87.84
HIVE,264.62,267.43
HKD,82.47,246.34
HKIT,4.80333,4.86333
HKPD,15.73,23.5
HLG,3.28,25.78
HLGN,4.27,6.13
HLP,65.92,74.74
HLTH,143.06,158.52
HLVX,32.17,50.14
HMG,0.35,1.02
HMNF,4.12,4.46
HMPT,137.13,138.47
HMR,32.11,58.41
HNNA,4.6,7.9
HNRG,39.06,47.13
HNST,86.02,110.08
HOFT,10.6,10.78
HOFV,4.42,6.7
HOLO,22.51,22.51
HOOK,9.88,12.19
HOUR,1.81,35.19
HOV,3.39,5.86
HOVR,42.74016,64.47505
HOWL,41.55,48.6
HPAI,8.81,37.65
HPCO,2.39,4.33
HQ,50.76,51.48
HQI,7.66,13.9
HROW,32.34,37.28
HRTG,22.15,30.35
HRTX,162.8,189.28
HSCS,3.47,3.48
HSDT,78.55,78.55
HSTO,4.12,4.27
HT,32.09,40.3
HTCO,7.95,10.23
HTCR,0.66,1.44
HTGM,2.21,2.21
HTLM,3.44,89.69
HTOO,3.16,3.3
HTT,77.68,156.68
HTZ,133.56,315.76
HUBC,66.6,66.6
HUDI,4.28,14.3
HUHU,10.16,28.7
HUIZ,4.46,10.11
HUMA,170.7,222.02
HURA,42.45,63.68
HURC,5.99,6.45
HUT,102.27,112.55
HVBC,1.85,2.24
HVT,13.49,16.1
HWBK,5.75,6.9
HWCC,,
HWH,1.37,27.48
HXHX,7.01,13.75
HYFM,3.85,4.76
HYFT,39.56,46.52
HYLN,137.61,178.33
HYMC,60.02,91.36
HYPD,15.14,15.16
HYPR,78.59,99.27
HYRE,29.12,30.41
HYZN,7.68,7.76
HZN,23.33,27.73
IBEX,1.64,13.39
IBG,4.33857,4.5
IBIO,49.42,49.68
IBO,12.2,107.82
ICAD,24.75,27.45
ICCC,5.65,9.05
ICCH,1.93,3.14
ICCM,1.67433,2.708
ICCT,4.68,4.88
ICD,13.92,15.19
ICG,8.06,60.71
ICMB,10.69,14.43
ICON,3.21,3.21
ICON_IconixBrand,,
ICPT,26.8,41.83
ICU,3.97,4
ICVX,35.57,50.09
ID,27.1,42.93
IDAI,5.12,5.6
IDEX,20.01,20.07
IDN,17.21,20.25
IDR,15.56,15.81
IDW,11.99,14.13
IDXG,27.58,27.7
IDYA,87.03,87.86
IEA,48.02,48.62
IEC,9.32,10.62
IFBD,1.95,8.19
IFMK,21.5,36.27
IFRX,143.1,147.29
IGC,76.28,100.09
IGIC,16.96,42.84
IGMS,19.44,60.29
IH,16.82,51.11
IHRT,123.89,151.15
IHT,2.93,9.4
III,38.76,47.67
IIN,8.76,9.3
IKT,160.94,163.81
ILAG,1.14,2.08
ILLM,50.02,56.19
ILLR,144.69,198.84
IMA,9.41,16.42
IMBI,26.47,28.92
IMCC,5.52,6.22
IMDX,26.68,33.19
IMG,78.97,89.97
IMH,28.67,36.57
IMMP,143.51,147.37
IMMR,27.19,33.1
IMMX,60.19852,71.18852
IMNM,109.27,113.25
IMNN,4.99,5.01
IMPL,23.22,23.9
IMPP,53.15,64.5
IMRN,8.07,8.17
IMRX,50.85,64.7
IMSR,49.6,105.94
IMTE,2.93,3.45
IMUX,34.84,34.94
IMV,11.68,11.68
INAB,9.44,9.85
INBS,3.24,3.25
INBX,11.75,14.67
INCR,36.82,54.68
INDO,9.95,15.39
INDP,13.18,113.24
INEO,2.32,16.53
INFI,71.63,90.76
INFU,18.87,20.22
INGN,26.87,27.23
INHD,2.3685,2.5205
INKT,2.53,4.98
INLF,0.5,13.81
INLX,2.86,4.49
INM,3.31,3.31
INMB,22.06,26.59
INO,82.05,82.27
INOD,31.1,32.66
INSE,23.3,26.68
INSG,11.54,16.28
INTG,0.36,2.15
INTJ,1.09,2.14
INTS,2.62,2.7
INTT,11.98,12.56
INTZ,18.7,20.37
INUV,12.31,14.82
INV,63.12,84.04
INVE,22.83,24.01
INVZ,205.03,215.51
INZY,59.74,64.56
IOBT,33.45,71.95
IONM,3.12,3.13
IONQ,366.42,373.27
IONR,45.18,75.2
IOR,0.36,4.07
IOTR,0.69,4.91
IPDN,6.75,10.52
IPHA,83.65,93.72
IPI,13.13,13.43
IPM,5.3,9.04
IPSC,168.51,204.7
IPST,1.23,1.25
IPW,0.58,0.66
IPWR,18.58,18.88
IPX,28.93,33.94
IQST,6.65,6.74
IRBT,30.02,31.83
IRD,78.61,81.4
IREN,347.68,357.38
IRIX,12.94,17.41
IRNT,76.09,112
IRON,32.92,38.2
IROQ,3.09,3.35
IRWD,145.26,164.61
ISEE,129.48,138
ISO,31.08,39.76
ISPC,0.83,1.81
ISPO,5.24,12.63
ISPR,19.97,57.4
ISSC,17.11,17.89
ISUN,43,47.38
ITI,41.97,42.91
ITMR,12.46,16.4
ITOC,13.66,124.72
ITOS,44.02,44.21
ITP,16.42,16.97
ITRG,200.76,202.16
ITRM,52.38,52.79
ITRN,14.05,19.81
IVA,159.30273,233.68273
IVAC,24.71,27.17
IVC,33.19,37.75
IVDA,11.46,11.59
IVF,1.79,1.79
IVP,121.97,121.97
IVVD,267.31,294.61
IXHL,11.82,11.96
IZEA,13.47,17.51
IZM,7.77,12.02
JAGU,11.75,20.19
JAGX,0.6,0.6
JAKK,11.11,11.44
JANX,53.38,60.98
JBDI,4.7,19.25
JBIO,47.33,60.61
JCSE,1.81,5.31
JCTC,2.08,3.52
JDZG,5.136,5.431
JEM,1.0205,1.8015
JEWL,28.32,38.05
JF,9.53,18.34
JFB,3.05,20.6
JFIN,10.35,52.33
JFU,4.56,11.77
JG,2.13,5.97
JILL,6.73,14.88
JL,1.65,3.76
JLHL,1.45,21.45
JMG,12.15,20.31
JMIA,123.67,123.85
JMP,8.14,20.16
JNCE,38.64,52.14
JOAN,11.86,41.91
JOB,103.49,109.87
JRJC,,
JRSH,6.71,12.7
JRVR,38.85,46.24
JSPR,27.79,28
JT,14.28,21.18
JTAI,1.42,1.42
JUNS,25.47,43.42
JVA,4.98,5.71
JWEL,2.035,2.38
JXG,3.63,12.06
JYD,7.49,7.76
JYNT,10.05,14.26
JZ,25.23,32.09
JZXN,2.14,42.89
KA,8.06,13.54
KAL,0.9,0.92
KALA,5.77,18.59
KALV,50.16,53.24
KAPA,13.53,21.41
KAVL,7.62,13.54
KBAL,35.3,36.42
KBNT,12.45,14.73
KBSX,12.41,44.77
KC,173.41,299.37
KDK,96.61,199.18461
KDNY,71.77,71.8
KE,23.4,24.05
KEEL,506.89,603.83
KEQU,2.53,2.87
KFFB,3.01,8.09
KG,7.1,9.18
KGEI,22.56,35.47
KGJI,,
KIDZ,7.66,7.94
KINS,12.8,14.48
KIQ,55.3,55.3
KITT,4.73,5
KLDO,40.65,42.62
KLR,8.53,13.33
KLRS,8.23,23.79
KLTR,138.72,150.37
KLXE,17.25,19.91
KMDA,29.98,57.69
KMRK,4.6,21.1
KNDI,70.08,84.81
KNOP,23.91,33.91
KNRX,17.8,30.42
KNSA,45.76,76.94
KNTE,39.2,47.23
KOD,42.81,62.58
KODK,60.32,97.6
KOPN,175.33,184.76
KORE,6.96,17.59
KOSS,5.37,9.47
KPLT,3.03,4.77
KPRX,5.84,5.92
KPTI,19.15,26.55
KRBP,1.13,1.53
KRKR,1.52,1.97
KRMD,37.27,45.93
KRON,42.89,60.97
KRRO,17,17.06
KRT,8.33,19.96
KRUS,7,12.15
KSCP,17.06,17.25
KSPN,3.84,4.97
KTCC,10.37,10.86
KTTA,88.13,88.24
KUKE,26.78,28.35
KULR,43.45,46.26
KUST,0.63,0.63
KVHI,13.05,19.5
KWM,26.83,73.24
KWY,11.93,28.95
KXIN,1.51,1.65
KYIV,30.38,230.86
KYNB,4,4.05
KYTX,50.42,60.8
KZIA,11.34,11.34
KZR,7.2,7.39
LAB,312.41,390.37
LABP,2.35,3.13
LABT,6.38,14.32
LAC,349.46,351.06
LAES,209.27,222.77
LAKE,10.36,10.72
LANV,21.19,125.6
LARK,4.6,6.1
LASE,33.78,38.57
LAWR,15.11,45.96
LAZR,69.55,78.57
LBGJ,1.65,1.8
LBPH,33.34,39.05
LBPS,21.35,22.54
LCFY,1.43,1.8
LCI,9.2,10.78
LCTX,204.49,255.01
LCUT,13.52,22.86
LDI,68.38,337.82
LDTC,15.08,37.59
LE,11.1,30.75
LEAF,,
LEDS,3.43,8.26
LEE,9.5,22.24
LEGH,16.58,23.78
LEJU,1.9,13.78
LENZ,28.99,31.35
LESL,6.99,9.36
LEU,16.7,19.67
LEV,131.19,226.22
LEXX,24.21,24.89
LFCR,29.42,37.51
LFLY,2.92,3.14
LFMD,42.96,48.36
LFS,12.53,26.16
LFVN,9.97,12.62
LFWD,1.5,3.78
LGCL,1.22,42.79
LGCY,10.51,12.65
LGHL,4.67,4.67
LGL,5.57,6.54
LGMK,0.9,0.9
LGO,69.61,97.74
LGPS,6.73,23.63
LGVN,25.18,29.7
LHAI,5.73,16.23
LHDX,31.13,40.6
LHSW,18.79,55
LIAN,44.09,108.06
LICN,0.78,16.33
LICY,38.85,44.54
LIDR,45.56,46.31
LILM,361.59,620.95
LIMN,49.054,55.224
LINC,26.86,31.72
LINK,3.41,15.75
LION,36.75,290.19
LIPO,4.4,4.62
LIQT,4.68,11.61667
LITB,6.37,17.99
LITS,36.27,36.36
LIVE,1.5,3.07
LIXT,14.99536,15.00536
LJPC,16.26,24.94
LKCO,6.71,6.88
LL,26.51,30.66
LLAP,143.2,205.36
LMB,10.53,11.92
LMDX,89.97,318.68
LMFA,16.43,17.35
LMNL,1.12,3.1
LMNR,16.49,18.11
LMPX,6.85,10.91
LMST,4.58,6.63
LNAI,3.1675,4.53375
LNKS,1.33,1.61
LNSR,8.8,12.1
LNZA,6.96,12.09
LOAN,8.62,11.43
LOBO,11.47,15.81
LOCL,3.21,22.8
LOCO,23.34,30.46
LODE,74.8,75.91
LOGC,44.12,45.67
LOGC_1664106_Delisted,,
LONA,3.22,9.39
LOOP,28.47,48.38
LOT,44.92,679.55
LOTZ,99.78,119.7
LOV,17.86,26.25
LOVE,13.36,14.78
LPA,3.34,31.78
LPCN,7.94,8.24
LPSN,11.17,12.05
LPTH,49.2,66.3614
LPTV,50.45,147.69
LQDA,67.13,88.93
LRE,1.35,13.64
LRHC,1.05,1.05
LRMR,81.42,103.88
LSAK,84.08,85.74
LSB,4.67,41.21
LSBK,4,7.83
LSDI,1.39,1.76
LSE,1.53,17.03
LSEA,28.49,36.41
LSF,8.53,11
LSH,13.82,34.43
LSTA,7.21,9.11
LTBR,34.13,35.15
LTCH,164.26,164.26
LTRN,8.29,13.39
LTRX,38.29667,43.98667
LUB,25.88,31.3
LUCD,169.1,203.07
LUCY,5.14,6.4
LUD,2.69,22.69
LUMO,6.25,8.65
LUNA,32.68,34.7
LUNG,39.74,42.24
LUNR,135.05,217.02
LUXE,17.14,140
LUXH,4.01,4.28
LVLU,0.53,2.86
LVO,25.03,27.49
LVOX,26.05,102.18
LVRO,4.42,116.61
LVTX,20.71,26.31
LVWR,12.86,204.76
LWAY,5.96,15.28
LWLG,153.22,154.08
LX,86.65,165.8
LXEH,1.87,1.92
LXEO,78.34,78.52
LXFR,26.46,26.75
LXRX,238.33,444.2
LXU,63.11,71.92
LYEL,23.29,23.33
LYLT,22.77,24.61
LYRA,1.76,1.77
LYT,1.05,4.94
LYTS,35.39,36.71
LZM,47.69,95.58
LZMH,1.6215,8.9785
MAAS,1.19,442.18
MACK,12.12,14.79
MAGH,12.14,35
MAGN,35.69,35.8
MAIA,49.23,60.8
MAMA,36.87,40.66
MAMK,1.8,16.65
MAMO,3.56,41.64
MAPS,84.84,159.23
MARA,373.05,381.27
MARK,45.56,61.9
MARPS,1.61,2
MASK,1.76,2.07
MASS,29.22,37.81
MATH,34.05,47.11
MAXN,6.73,16.93
MAYS,0.91,2.02
MB,4.69,17.16
MBAI,5.55,7.02
MBCN,7.71,8.07
MBII,110.14,182.34
MBIO,7.51,7.58
MBOT,67.03,67.16
MBRX,5.33,5.34
MBX,35.5,47.6
MCFT,23.56,24.22
MCHX,18.87,44.3
MCLD,12.91,31.94
MCOM,92.21,92.21
MCRB,8.52,9.68
MCRP,8.58,35.65
MCTA,4.59,16.94
MDAI,23.94,31.82
MDBH,4.74,10.3
MDCX,48.26,56.66
MDIA,7.27,81.73
MDLY,,
MDNA,52.74,69.64
MDRR,0.95,1.63
MDV,10.05,10.32
MDVL,0.5,1.61
MDWD,9.07,12.87
MDWT,2.28,3.74
MDXG,118.44,148.95
MDXH,36.99,49.5
ME,17.66,27.54
MEC,16.788,24.838
MED,10.85,11.12
MEGL,2.41,5.06
MEHA,36.67,42.74
MENS,2.67,76.03
MESO,101.81,128
METC,40.58,65.17
MF,5.67,7.86
MFI,0.56,51.69
MFIN,19.88,23.85
MFNC,,
MG,21.57,31.82
MGAM,75.46,75.46
MGIH,1.25,11.25
MGLD,20.31,42.81
MGN,22,37
MGNX,52.08,63.56
MGRM,31.33,40.63
MGRT,3.75,13.75
MGRX,15.88,17.17
MGTX,74.73,92.61
MGX,23.73,37.65
MGYR,5.8,6.46
MHH,4.7,12
MHUA,0.3,0.86
MI,0.17888,0.188
MIC,73.15,88.34
MICR,,
MILE,115.72,130.42
MIMI,1.32,2.71288
MIMO,29.05,74.64
MIND,8.92,9.09
MIRA,37.75,42.02
MIRO,27.15,27.42
MIST,124.15,124.5
MITO,21.69,73.33
MITQ,6.28,9.94
MITT,30.73,31.8
MIXT,19.4,22.16
MKD,8.84,10.48
MKDW,3.2,4.2
MKFG,13.6,20.75
MKTW,2.13,2.64
MKUL,27.61,34.65
MKZR,2.22,2.26
ML,5.67,11.32
MLCI,9.1,11.97
MLEC,0.52,2.08
MLGO,3.44,12.44
MLP,7.75,19.86
MLR,9.87,11.4
MLSS,72.19,88.45
MLTX,38.79,73.62
MLYS,70.29038,88.16038
MMA,21.78,26.88
MMAT,6.38,6.7
MMLP,18.33,39.12
MMV,7.34,37
MN,16.59,19.12
MNDO,17.06,20.37
MNDR,4.91,5.33
MNK,39.58,39.58
MNOV,42.26,49.22
MNPR,5.88,8.54
MNTS,12.24,16.22
MNTX,19,20.4
MNY,14.23,43.83
MOB,11.53,12.21
MOBQ,27.82,27.82
MOBX,12.26,13.44
MOD,51.75,52.82
MODD,5.35,5.61
MODV,7.72,14.4
MOGU,1.9,8.17
MOHO,29.82,48.23
MOLN,38.61,40.37
MOND,58.11,87.42
MOR,32.88,34.23
MOTS,6.84,6.85
MOVE,1.83,1.98
MPAA,18.08,19.21
MPTI,4.15,4.32
MPU,61.78,67.86
MPX,9.28,35.24
MRAI,14.99,25.29
MRAM,21.68,23.45
MRDB,53.2,69.07
MRDN,2.85,12.67
MREO,158.69,159.62
MRIN,2.91,3.14
MRKR,13.86,16.67
MRLN,9.59,92.54
MRM,5.93,7.9
MRNO,3.88,81.72
MRNS,54.41,55.19
MRSN,4.21,5
MRT,39.18,86.04
MSAI,0.83,2.02
MSBF,,
MSC,45.67,210.72
MSGM,2.4,5.78
MSGY,2.73,14.23
MSN,5.8,21.04
MSPR,13.47,14.25
MSS,1.141,3.045
MSTR,330.38,350.45
MSVB,2.62,2.89
MSW,2.5,12.98
MTA,92.8,93.44
MTBL,5.55,16.42
MTC,99.52,99.59
MTCR_1634379_Delisted,,
MTEK,7.22,9.7
MTEM,5.9,6.58
MTEN,16.36,20.26
MTEX,1.19,1.93
MTLS,24.11,58.87
MTNB,6.28,6.41
MTR,1.86,1.86
MTRX,26.8,28.13
MTVA,3.39,5.16
MTW,34.68,35.91
MURA,16.91,17.34
MUX,51.37,59.74
MVIS,328.64,331.62
MVLA,21.4,50.91
MVO,2.47,11.5
MVST,203.96,333.16
MWC,2.85,58.291
MWG,2.97,5.13
MWYN,14.2,20.19
MX,31.03,36.22
MXC,1.04,2.05
MYFW,7.26,9.73
MYNA,6.06,6.32
MYND,8.37,46.22
MYO,36.41,38.64
MYPS,79.12,128.36
MYSE,4.8,5.07
MYSZ,4.64,4.82
NA,21.2,29.52
NAAS,2.72,12.06
NAGE,44.71,79.64
NAII,5.08,6.28
NAK,549.48,560
NAKA,16.85725,17.40225
NAMI,54.17,79.07
NAMM,12.5,54.48
NAT,204.85,211.75
NATH,2.34,4.09
NATR,15.67,17.58
NAUT,62.84,127.08
NAVB,67.83,100.08
NB,141.77,145.59
NBEV,143.43,147
NBP,114.1,115.38
NBRV,3.2,3.2
NBSE,3.57,3.73
NBTX,51.30823,53.15823
NC,4.85,7.54
NCEL,3.59,5.35
NCEW,1.06,3.2
NCI,1.99125,2.36375
NCL,51.9,53.73
NCMI,74.87,93.78
NCNA,4.16,4.16
NCNC,50.75,167.44
NCPL,7.85,7.85
NCRA,8.17,15.3
NCSM,0.91,2.62
NCT,0.32,1.17
NCTY,9.68,15.23
NDLS,4.73,5.89
NDRA,1.27,1.84839
NEGG,1.27,20.97
NEN,2.79,2.79
NEON,11.72,16.78
NEOS,,
NEOV,44.86512,54.90512
NEPH,6.04,10.86
NEPT,4.52,4.53
NERV,45.31,46.59
NES,2.23,16.21
NETI,34.2,36.65
NEUE,5.03,9.02
NEUP,5.39,5.4
NEWA,,
NEWP,95.63,184.75
NEWT,27.28,28.89
NEXI,1.25,1.39
NEXR,1.77,1.77
NEXT,129.59,264.99
NFGC,276.71,376.13
NGL,99.04,124.81
NGM,35.8,83.46
NGMS,20.62,33.74
NGNE,19.26,20.98
NGS,11.8,12.6
NGVC,9.38,23.04
NH,2.12,7.7
NHLD,,
NHTC,4.56,8.58
NICM,15.3,18.95
NINE,13.95,13.95
NIPG,201.47,280.8
NIR,13.84,51.75
NIU,47.5,80.85
NIVF,0.57,0.57
NIXX,27.02,28.64
NKGN,117.54,130.6
NKLA,115.19,119.43
NKLR,13.61,70.3
NKTR,33.61,33.79
NKTX,70.24,74.29
NL,8.34,48.86
NM,18.67,22.83
NMAX,8.25,129.16
NMCI,,
NMG,198.62,367.07
NMHI,590.72,606.63
NMRA,145.07,185.28
NMRD,17,40.35
NMTC,8.39,8.62
NMTR,12.72,14.46
NN,101.12,136.44
NNA,,
NNBR,48.33,52.77
NNDM,207.05,209.21
NNE,30.63,52.08
NNNN,39.69,143.89
NNOX,64.34,69.59
NNVC,17.83,22.93
NOA,26.91,28.24
NODK,6.42,20.54
NOGN,8.78,11.29
NOMA,5.11,17.38
NOTE,21.86,26.65
NOTV,32.17,34.89
NOVA,122.83,125.69
NOVN,27.9,28.02
NPCE,23.23,34.09
NPKI,80.17,84.45
NPT,3.62,22.3
NPWR,59.6,224.76
NRGV,109.51,178.25
NRIX,102.9,103.41
NRSN,28.29,34.15
NRT,9.14,9.19
NRXP,35.00429,41.94429
NRXS,11.25,12.38
NSEC,1.1,2.53
NSPR,48.13,60.11
NSR,23.01,68.53
NSRX,6.42,11.75
NSTG,47.55,48.12
NSYS,1.19,2.79
NTBL,6.75,9.66
NTCL,43.64,57.94
NTGN,,
NTHI,9.23,26.01
NTIC,7.59,9.49
NTIP,15.82,22.79
NTP,13.35,60.2
NTRB,7.3,12.16
NTRP,9.65,14.49
NTWK,10.13,11.88
NTZ,4.82,11.01
NUAI,98.32,101.29
NUCL,19.88,29.58
NURO,1.85,2.06
NUTR,5.38,19.38
NUTX,4.93,6.88
NUVB,263.62,348.2
NUVO,20.66,33.92
NUWE,2.94,2.94
NVA,35.62,37.13
NVAX,163.85,164.44
NVCN,2.74,2.74
NVCT,15.49,26.53
NVEC,4.77,4.84
NVIV,3.04,3.11
NVNI,9.04,11.53
NVNO,0.66,0.67
NVOS,18.41,19.73
NVRO,36.48,38.37
NVTA,285.69,286.49
NVTS,172.54,233.71
NVVE,5.31,18.42
NVX,191.22,211.03
NWGL,4.58,16.55
NWPX,9.37,9.64
NWTG,3.99,4.59
NXB,5.46,24.36
NXGL,7.9,9.13
NXL,18.12,20.58
NXPL,1.59,2.71
NXTC,3.41,3.61
NXTP,3.39,5.94
NXTS,0.55,0.73
NXTT,147.65,147.65
NXU,2.32,2.57
NXXT,46.57,167.26
NYAX,11.83,37.36
NYC,1.39,2.92
NYMX,58.68,94.54
NYXH,40.06,43.03
OABI,100.74,144.97
OBAI,14.47,24.46
OBAS,0.92,5.22
OBCI,3.68,9.51
OBIO,40.09,59.88
OBSV,96.3,113.18
OCC,5.99,8.83
OCEA,208.06,232
OCFT,4.75,36.38
OCG,1.94,1.94
OCGN,334.89,338.52
OCS,55.75,59.03
OCUL,214.06,218.96
ODC,12.03,14.48
ODV,256.49,304.72
ODYS,9.08,16.78
OESX,4.41,4.81
OFAL,17.96,26.27
OFED,1.11,5.61
OG,28.34,105.12
OGEN,4.43,4.51
OGI,102.55,158.96
OIG,4.33,4.69
OIIM,24.61,28.5
OIO,7.11,348.02
OIS,56.38,60.19
OKLO,139.74,173.99
OKUR,48.89,49.82
OKYO,42.025,51.38
OLB,9.38,14.66
OLMA,68.06,100.75
OLOX,0.741,0.773
OLP,13.61,21.82
OM,18.3,18.46
OMCC,3.52,6.79
OMER,64.94,72.38
OMEX,50.97,58.57
OMGA,25.28,55.37
OMH,24.52,25.66
OMIC,1.55,2.51
OMQS,15.15,15.15
OMSE,17.15,44.3
ONCO,1.141,1.146
ONCR,23.33,26.09
ONCS,5.5,5.96
ONCT,2.66,2.96
ONCY,119.33,119.35
ONDS,492.19,495.76
ONEG,7,16
ONEW,11.65,16.62
